                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3183,                0.86144,                0.99255,                0.99391,                      1,                  0.995,                0.63624,                 1.2995,                0.91719,                 1.0481,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.4524,                0.93872,                 1.0155,                0.94202,                0.94118,                0.96524,                0.64541,                 1.2762,                0.92281,                 1.0238,               0.001307,               0.001307,               0.001307
                     73,                 1.3644,                0.92908,                 1.0049,                0.99326,                      1,                  0.995,                0.66199,                 1.2951,                0.94829,                 1.0274,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.2973,                0.89211,                 1.0093,                0.99683,                      1,                  0.995,                0.59836,                 1.3828,                0.94064,                 1.0522,              0.0012872,              0.0012872,              0.0012872
                     75,                  1.289,                0.86508,                0.98831,                 0.9957,                      1,                  0.995,                0.57825,                 1.4364,                0.97571,                 1.0585,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.1455,                0.80454,                0.97999,                0.93524,                0.94118,                 0.9663,                0.60759,                 1.4132,                 1.0006,                 1.0719,              0.0012674,              0.0012674,              0.0012674
                     77,                  1.405,                 0.9296,                 1.0076,                0.93494,                0.94118,                0.96357,                0.60002,                 1.4081,                0.99313,                 1.0784,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.2637,                0.84468,                0.98792,                0.93421,                0.94118,                 0.9663,                 0.6011,                 1.4384,                 1.0144,                 1.1023,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.2629,                0.77649,                0.97821,                0.99372,                      1,                  0.995,                0.61241,                 1.3826,                 1.0111,                  1.071,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.2942,                 0.8138,                0.96979,                0.99503,                      1,                  0.995,                0.61516,                 1.3596,                  1.001,                 1.0622,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.2317,                0.79205,                0.95517,                0.93673,                0.94118,                0.97489,                0.61996,                 1.4197,                0.97858,                 1.0888,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.2504,                0.78866,                 1.0139,                0.93554,                0.94118,                0.97691,                0.56579,                 1.4481,                 1.0024,                 1.0886,               0.001208,               0.001208,               0.001208
                     83,                  1.233,                0.79748,                0.98588,                0.29467,                0.94118,                0.29308,                0.16393,                 1.3994,                 4.0957,                 1.0648,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.1551,                0.72002,                0.94919,                0.63238,                0.94118,                0.64917,                0.39577,                 1.3512,                 1.0508,                 1.0464,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.1461,                0.77911,                0.94964,                0.93532,                0.94118,                0.97658,                0.57769,                 1.4253,                 0.8473,                 1.0737,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.3134,                0.80847,                0.96755,                0.99558,                      1,                  0.995,                0.57476,                 1.4531,                0.82041,                 1.0789,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.1449,                0.73787,                0.96082,                 0.9946,                      1,                  0.995,                0.57317,                 1.4352,                0.83546,                 1.0673,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.3773,                0.74009,                 1.0064,                 0.9947,                      1,                  0.995,                0.57173,                 1.4406,                0.84229,                 1.0529,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.2441,                0.76862,                 1.0048,                0.99463,                      1,                  0.995,                0.58356,                 1.4662,                 0.8659,                 1.0583,              0.0011387,              0.0011387,              0.0011387
                     90,                  1.336,                0.81659,                 1.0344,                0.99498,                      1,                  0.995,                0.58286,                  1.477,                0.80765,                 1.0715,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.1763,                0.73531,                0.96302,                0.93714,                0.94118,                0.94531,                0.49865,                 1.6922,                0.85399,                 1.1745,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.1802,                0.69379,                0.95438,                 0.9375,                0.94118,                0.91393,                0.52047,                 1.6983,                0.83235,                 1.2215,               0.001109,               0.001109,               0.001109
                     93,                 1.1375,                0.72109,                0.97917,                 0.9951,                      1,                  0.995,                 0.4922,                 1.7656,                 0.8447,                 1.2647,              0.0010991,              0.0010991,              0.0010991
                     94,                  1.305,                0.73336,                 1.0338,                0.99514,                      1,                  0.995,                0.52123,                 1.6538,                0.81838,                 1.2036,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.2581,                0.72906,                0.96507,                0.99518,                      1,                  0.995,                0.54422,                  1.664,                0.82437,                  1.195,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.2082,                0.69665,                0.93783,                0.99603,                      1,                  0.995,                0.53815,                 1.6482,                0.78403,                 1.1776,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.1695,                 0.7117,                 0.9721,                0.93739,                0.94118,                0.94201,                 0.5203,                 1.7019,                0.80876,                 1.2016,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.2227,                0.67508,                0.96295,                0.93734,                0.94118,                0.94182,                0.55698,                 1.6783,                0.80064,                 1.1759,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.1008,                0.68225,                 0.9698,                 0.9372,                0.94118,                0.93469,                0.51928,                 1.6511,                0.79191,                 1.1686,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.1498,                0.68834,                0.97522,                0.93709,                0.94118,                0.92758,                0.51226,                 1.6511,                0.83137,                 1.1935,              0.0010298,              0.0010298,              0.0010298
