frame_id,time,detected,x1,y1,c1
72.0,3.944444444444444,1.0,84.92713928222656,131.98922729492188,0.6246433854103088
73.0,4.0,1.0,78.87258911132812,138.18545532226562,0.6693726181983948
74.0,4.055555555555555,1.0,77.07051849365234,145.25881958007812,0.5050856471061707
75.0,4.111111111111111,1.0,78.40100860595703,152.50473022460938,0.5455668568611145
76.0,4.166666666666666,1.0,80.90087890625,160.27061462402344,0.7165536880493164
77.0,4.222222222222222,1.0,83.49983215332031,168.0066375732422,0.6283425688743591
78.0,4.277777777777778,1.0,86.8878402709961,176.93096923828125,0.6290872693061829
79.0,4.333333333333333,1.0,95.30730438232422,187.39633178710938,0.6092203855514526
80.0,4.388888888888888,1.0,104.65534973144531,195.12301635742188,0.5244836807250977
81.0,4.444444444444445,1.0,112.472900390625,197.6795654296875,0.636658251285553
